Unnamed: 0,qid,timestamp,ramsey_estimate,overrot,axis,T1,T2
,Q0,1731726002.2695549,0.6749754699116579,-2.5887368540978253,0.576125325078398,-1.0,0.0002
,Q1,1731726165.934144,1.2085182424799363,-0.6252098745285793,-0.4654847347992304,0.4,2e-05
,Q2,1731726328.969596,-1.999655675910918,0.4045397530225059,0.4211671790774495,0.0002,0.0001
,Q0,1731727802.1165326,0.6098339305201961,-0.2600617821788373,1.081174435528642,-0.5,-0.0001
,Q1,1731727965.581983,0.6301907960866302,-0.2065014078709147,0.3954862737611885,0.5,-0.003
,Q2,1731728128.4775429,-0.6167129278415602,-1.5516808379856246,0.5721944959451559,1e-05,-6e-05
,Q0,1731738602.648973,-0.0004075917733135,-0.0007736485357482,-0.0020559036269671,3.8e-05,2e-06
,Q1,1731738766.489851,0.0180994131260021,0.0093152182612981,0.0537880675563613,4.4e-05,5e-06
,Q2,1731738929.79489,0.0216757396802584,0.0141370871913588,0.0576183956483064,3.8e-05,5.4e-06
,Q0,1731740402.0979457,-0.0016461734134285,-0.0005821317324862,0.0134769523010807,3.6e-05,9.9e-06
,Q1,1731740565.93611,0.0185427678219944,0.0103415526364307,0.0473923774072296,5.4e-05,8e-06
,Q2,1731740729.2728438,0.0209246685730697,0.0154445032062637,0.0602354956161518,4.35e-05,3e-06
,Q0,1731742202.402436,-0.0010191606107712,-0.0007724744240156,0.0170752429286057,4.6e-05,8.7e-06
,Q1,1731742366.171694,0.014813435628044,0.0079989511057649,0.0488394502416227,5.49e-05,6e-06
,Q2,1731742529.4561446,0.0225239166035606,0.0139073583754345,0.0604195597644347,4.42e-05,9e-06
,Q0,1731744002.5495975,-0.0010134254886779,0.3168141983622403,0.0086038531319264,5.3e-05,1.2e-05
,Q1,1731744166.2556634,0.0142073719070641,0.0045058312164218,0.0477614410599829,5.7e-05,1.7e-05
,Q2,1731744329.481682,0.0213329654912453,0.0098318032852713,0.0651438085758441,5.8e-05,1.2e-05
,Q0,1731745802.459845,-0.0004563432072628,-1.6438909217404096,0.5869277188308809,5.1e-05,1.5e-05
,Q1,1731745966.1725826,0.0143833763190066,0.0056630404165791,0.047450569292104,5.4e-05,1.6e-05
,Q2,1731746129.4083447,0.0241202149589643,0.0120201672514952,0.0605606839600539,5.58e-05,2e-05
,Q0,1731749402.3262308,-0.0025194991995864,-0.001488610445695,0.014417965599964,5.8e-05,2.8e-05
,Q1,1731749566.1069362,0.0141271813445857,0.0072153330567907,0.0472947042719107,6.4e-05,2.7e-05
,Q2,1731749729.41965,0.0265553556997559,0.0104432506015943,0.1675769549819715,7.4e-05,1e-05
,Q0,1731751202.5235054,0.0032211814890956,-0.0013690160018762,0.0161877873402857,6.5e-05,3.3e-05
,Q1,1731751366.3603458,0.0139035092346411,0.0078727289074826,0.0471259575587688,7.36e-05,4.2e-05
